"Data generated on Thursday, April 23, 2026 at 10:35:06 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,
,Partner,,HS Code,Product,Year,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","China","3","0402","Milk Concentrated","2015-2015","3,092","5,523","8,675","9,615","15,345","6,352","5,078","8,648","2,813","3,591","4,792","4,087","77,610","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2016-2016","2,790","4,108","2,737","3,443","4,593","3,365","5,552","4,193","2,046","2,949","4,231","7,809","47,814","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2017-2017","5,024","7,906","10,797","8,310","8,718","6,253","6,767","10,856","9,876","9,671","6,436","6,028","96,642","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2018-2018","1,030","6,335","12,057","13,269","13,930","10,082","3,082","4,330","1,553","1,237","2,111","1,572","70,587","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2019-2019","1,195","1,920","981","1,206","1,914","1,707","2,230","1,004","1,566","1,824","9,156","5,857","30,561","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2020-2020","1,090","1,890","666","2,941","9,904","9,300","4,750","14,500","7,806","10,485","7,364","4,730","75,426","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2021-2021","4,802","6,332","13,994","13,743","17,119","19,040","22,392","16,187","18,941","7,955","8,197","9,897","158,601","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2022-2022","10,980","15,735","12,900","17,502","16,335","21,242","24,188","17,439","15,923","13,223","15,953","16,001","197,421","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2023-2023","9,130","7,345","7,188","7,356","6,048","3,466","3,676","3,727","5,649","3,578","3,103","2,201","62,467","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2024-2024","2,508","2,084","3,816","2,430","3,967","1,888","2,726","2,254","3,251","3,163","2,294","3,429","33,809","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2025-2025","1,148","1,452","1,647","1,110","866","1,376","946","1,112","693","1,966","790","1,096","14,205","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2026-2026","915","","","","","","","","","","","","915","US","CH","0402",
"1","China","4","0401","Milk Not Concentrate","2006-2006","27","0","0","0","0","0","0","0","0","0","0","0","27","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2007-2007","0","0","0","12","0","0","0","0","0","0","0","0","12","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2008-2008","0","0","0","0","14","0","0","0","20","20","0","3","57","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2009-2009","0","0","0","0","6","0","0","0","0","57","0","57","120","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2010-2010","58","65","0","0","0","5","4","4","0","5","8","23","171","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2011-2011","0","0","23","16","0","22","34","93","0","37","96","55","376","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2012-2012","176","4","223","20","256","72","113","98","90","71","103","192","1,419","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2013-2013","132","219","242","170","179","115","167","296","297","41","588","427","2,873","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2014-2014","272","288","151","1,193","267","613","369","786","421","636","297","316","5,608","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2015-2015","53","461","115","53","74","212","0","357","16","25","0","466","1,832","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2016-2016","55","0","0","0","7","0","10","72","41","94","11","0","290","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2017-2017","21","65","0","0","59","24","56","0","0","0","6","14","244","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2018-2018","39","9","24","183","3","7","54","10","0","7","29","15","379","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2019-2019","19","18","0","0","0","4","11","32","0","82","182","100","447","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2020-2020","41","0","118","0","174","3","3","3","3","74","177","313","909","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2021-2021","20","58","70","40","197","461","74","90","113","68","44","16","1,252","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2022-2022","6","22","0","0","0","24","0","5","0","27","0","0","84","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2023-2023","26","6","27","50","72","26","4","5","0","3","37","0","256","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2024-2024","0","11","30","0","5","0","5","14","17","39","0","3","124","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2025-2025","36","58","0","26","65","0","5","3","11","17","0","31","251","US","CH","0401",
"1","China","4","0401","Milk Not Concentrate","2026-2026","10","","","","","","","","","","","","10","US","CH","0401",
"1","China","5","0403","Buttermilk","2005-2005","0","6","0","0","14","33","216","8","23","0","0","21","322","US","CH","0403",
"1","China","5","0403","Buttermilk","2006-2006","26","46","0","42","92","422","400","35","4","7","33","6","1,114","US","CH","0403",
"1","China","5","0403","Buttermilk","2007-2007","61","73","0","30","119","14","6","152","76","0","49","7","588","US","CH","0403",
"1","China","5","0403","Buttermilk","2008-2008","56","0","0","59","8","53","59","5","8","46","74","0","367","US","CH","0403",
"1","China","5","0403","Buttermilk","2009-2009","63","3","60","8","23","27","7","62","17","13","6","58","348","US","CH","0403",
"1","China","5","0403","Buttermilk","2010-2010","6","31","8","222","237","114","56","362","6","12","104","165","1,322","US","CH","0403",
"1","China","5","0403","Buttermilk","2011-2011","3","81","348","298","70","721","1,412","709","1,985","1,775","1,178","1,176","9,756","US","CH","0403",
"1","China","5","0403","Buttermilk","2012-2012","1,638","2,218","1,041","1,299","3,134","27","455","735","455","68","491","73","11,633","US","CH","0403",
"1","China","5","0403","Buttermilk","2013-2013","43","62","17","17","6","953","508","24","0","110","33","56","1,830","US","CH","0403",
"1","China","5","0403","Buttermilk","2014-2014","402","100","399","479","294","44","57","209","28","104","83","6","2,204","US","CH","0403",
"1","China","5","0403","Buttermilk","2015-2015","103","255","396","95","88","305","53","209","693","135","131","112","2,575","US","CH","0403",
"1","China","5","0403","Buttermilk","2016-2016","146","163","263","242","209","31","144","102","91","118","0","86","1,595","US","CH","0403",
"1","China","5","0403","Buttermilk","2017-2017","30","114","23","154","112","105","59","82","118","47","91","119","1,053","US","CH","0403",
"1","China","5","0403","Buttermilk","2018-2018","10","211","96","323","247","97","204","178","43","243","117","91","1,860","US","CH","0403",
"1","China","5","0403","Buttermilk","2019-2019","326","224","48","240","284","417","173","426","258","541","101","10","3,048","US","CH","0403",
"1","China","5","0403","Buttermilk","2020-2020","51","269","3","60","321","124","387","289","26","153","23","189","1,895","US","CH","0403",
"1","China","5","0403","Buttermilk","2021-2021","191","140","163","143","140","264","26","74","28","97","232","80","1,578","US","CH","0403",
"1","China","5","0403","Buttermilk","2022-2022","82","101","231","41","156","57","38","18","3","0","12","0","739","US","CH","0403",
"1","China","5","0403","Buttermilk","2023-2023","0","0","182","77","24","42","10","30","48","98","141","0","651","US","CH","0403",
"1","China","5","0403","Buttermilk","2024-2024","0","34","27","70","14","0","20","17","0","0","39","44","266","US","CH","0403",
"1","China","5","0403","Buttermilk","2025-2025","21","0","39","0","0","39","3","16","0","20","7","20","164","US","CH","0403",
"1","China","6","0405","Butter, Fats, Milk","2005-2005","0","0","0","0","0","0","8","12","0","0","11","0","31","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2006-2006","10","5","8","0","5","14","77","0","6","24","21","8","178","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2007-2007","14","21","8","64","70","3","19","17","20","28","14","124","402","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2008-2008","216","78","124","135","92","5","69","0","16","74","40","22","872","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2009-2009","72","79","10","72","103","47","64","36","57","134","24","127","824","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2010-2010","14","87","118","83","232","71","88","24","168","50","77","205","1,217","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2011-2011","32","219","27","181","230","599","33","160","180","20","0","68","1,749","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2012-2012","0","209","69","0","134","114","114","85","79","140","0","17","961","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2013-2013","0","105","97","105","21","73","119","165","77","1,776","1,766","205","4,508","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2014-2014","1,872","951","794","773","0","1,342","1,463","226","0","139","0","5","7,565","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2015-2015","0","0","19","6","0","85","0","0","0","92","0","0","203","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2016-2016","13","17","0","12","37","138","1,153","0","48","0","0","0","1,418","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2017-2017","0","13","0","0","158","29","0","0","9","31","506","21","767","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2018-2018","10","9","4","0","9","20","10","15","36","37","3","0","155","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2019-2019","25","0","0","0","0","0","0","0","425","0","0","0","450","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2020-2020","0","0","0","0","546","275","1,806","0","0","0","0","6","2,632","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2021-2021","0","6","89","1,186","3,589","0","233","1,836","2,300","347","649","0","10,237","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2022-2022","87","107","65","0","65","75","12","233","83","83","83","0","892","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2023-2023","80","80","635","3","0","190","3","0","70","140","0","151","1,352","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2024-2024","0","202","0","82","88","84","72","549","394","241","180","191","2,083","US","CH","0405",
"1","China","6","0405","Butter, Fats, Milk","2025-2025","385","59","28","121","69","88","257","76","330","110","64","64","1,651","US","CH","0405",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. Product Group : Harmonized"
