"Data generated on Thursday, April 23, 2026 at 10:34:02 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Cumulative To Date Quantities/Unit Values in Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,
,Partner,,HS Code,Product,Year,UOM,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Period/Period %  Change (Unit Value),Reporter Code,Partner Code,Product Code,
"1","China","2","0402","Milk Concentrated","2009-2009","MT","3,253.8","1.1","","0.0","9,024.6","1.1","1,785.7","399.5","1,846.1","1,102.8","1,881.7","642.3","1,886.7","406.2","1,957.0","436.4","1,834.0","379.8","2,116.4","1,599.7","2,302.7","809.2","3,300.4","241.9","2,049.1","6,019.9","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2010-2010","MT","907.7","43.7","2,393.2","890.0","2,599.4","1,205.4","2,444.0","1,997.2","2,612.7","1,870.3","2,479.5","1,154.0","2,695.0","1,096.8","2,879.9","250.6","2,726.9","1,819.2","2,489.8","1,449.6","2,857.6","949.4","2,730.5","2,792.9","2,610.9","15,519.1","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2011-2011","MT","2,757.2","1,102.3","2,920.6","671.0","2,765.2","460.0","3,262.8","1,481.5","3,230.6","1,777.8","3,468.7","789.4","3,351.3","1,610.8","3,343.1","1,011.4","3,339.0","2,743.3","3,302.2","1,335.2","3,330.4","1,880.8","3,059.5","390.1","3,238.1","15,253.6","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2012-2012","MT","3,316.7","1,831.7","3,338.1","760.7","3,375.3","774.1","2,702.5","2,688.5","2,901.0","2,195.2","2,400.6","3,500.4","3,112.5","672.5","2,429.1","1,313.2","2,258.0","775.4","1,302.9","1,149.0","1,405.7","892.0","1,714.5","1,478.5","2,528.1","18,031.3","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2013-2013","MT","2,165.2","706.5","2,130.2","650.8","2,688.0","1,122.6","2,483.0","4,926.9","3,311.7","6,781.3","3,427.6","8,792.1","3,366.1","7,030.3","3,595.6","10,255.3","3,711.7","9,611.2","3,580.2","7,801.2","3,907.1","5,937.8","3,722.1","6,820.5","3,456.9","70,436.4","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2014-2014","MT","3,098.0","3,144.3","4,157.1","4,846.4","3,825.7","9,637.5","3,152.8","4,120.8","3,368.5","7,709.5","2,994.8","5,608.3","3,479.7","4,652.8","3,577.3","6,515.1","3,186.1","3,742.0","1,975.5","2,614.7","2,656.1","1,952.2","1,349.4","2,382.0","3,293.8","56,925.5","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2015-2015","MT","1,598.3","1,934.4","1,863.4","2,964.2","2,234.7","3,881.8","2,370.1","4,056.7","2,445.4","6,275.0","2,716.0","2,338.6","2,378.4","2,135.1","2,797.8","3,091.1","2,599.2","1,082.1","2,388.4","1,503.4","2,539.2","1,887.4","2,853.8","1,432.1","2,382.0","32,582.0","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2016-2016","MT","2,328.9","1,197.9","2,428.6","1,691.3","2,363.0","1,158.1","2,104.6","1,635.9","2,151.5","2,134.9","1,940.0","1,734.4","2,104.8","2,637.6","2,128.1","1,970.3","2,246.7","910.7","2,409.4","1,224.0","2,445.5","1,730.2","2,584.6","3,021.3","2,271.8","21,046.5","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2017-2017","MT","1,993.0","2,520.6","2,270.9","3,481.3","2,013.7","5,361.8","1,953.0","4,254.9","1,841.8","4,733.6","2,067.0","3,025.1","2,481.6","2,726.7","2,395.7","4,531.4","2,542.5","3,884.5","2,284.7","4,233.0","2,228.1","2,888.6","2,048.4","2,943.1","2,167.6","44,584.6","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2018-2018","MT","2,395.6","429.9","2,049.6","3,090.7","2,396.2","5,031.8","2,133.9","6,218.0","2,191.6","6,356.0","2,226.1","4,529.0","1,870.4","1,647.5","2,116.2","2,046.0","2,474.9","627.3","2,488.5","497.0","2,588.0","815.7","2,955.7","532.0","2,218.3","31,820.8","","US","CH","0402",
