date,source_region,cmd_code,cmd_desc,import_value_usd,net_weight_kg
6/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1022856,550189
6/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,130081613,38259718
6/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",11011,3292
6/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",1842949,425299
6/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5564977,1343221
6/1/10,New Zealand,0406,Cheese and curd,4273412,934529
7/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,620360,364223
7/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9368969,2732546
7/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",136425,43997
7/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16280731,9081930
7/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,526952,111496
7/1/10,EU-27,0406,Cheese and curd,1169047,171253
7/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1223860,662012
7/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,100869932,27970302
7/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",19370,4547
7/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",3089719,861385
7/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5574520,1352722
7/1/10,New Zealand,0406,Cheese and curd,2804505,592349
8/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,631840,391958
8/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,11831031,3343008
8/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",80008,36244
8/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16938431,9595984
8/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1046078,203563
8/1/10,EU-27,0406,Cheese and curd,1252340,153109
8/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,967892,394758
8/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,66993049,16722963
8/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",6783,1978
8/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2262104,366600
8/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,2534776,546784
8/1/10,New Zealand,0406,Cheese and curd,4302870,947560
9/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,558165,383253
9/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,12064418,3641513
9/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",231976,78265
9/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",21667041,13078443
9/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,779886,155516
9/1/10,EU-27,0406,Cheese and curd,1139727,158513
9/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1779795,868916
9/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,47616370,12286889
9/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",14301,3376
9/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",698051,124577
9/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,4848866,1038112
9/1/10,New Zealand,0406,Cheese and curd,5958271,1289734
10/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,362168,202616
